key,DivRt2,Erf,Div2,value,index
0,0,0,0,0.5,0
0.006944444,0.004910464,0.00554082,0.00277041,0.50277041,1
0.013888889,0.009820928,0.011081374,0.005540687,0.505540687,2
0.020833333,0.014731391,0.016621393,0.008310696,0.508310696,3
0.027777778,0.019641855,0.02216061,0.011080305,0.511080305,4
0.034722222,0.024552319,0.027698759,0.01384938,0.51384938,5
0.041666667,0.029462783,0.033235573,0.016617786,0.516617786,6
0.048611111,0.034373246,0.038770785,0.019385392,0.519385392,7
0.055555556,0.03928371,0.044304129,0.022152064,0.522152064,8
0.0625,0.044194174,0.049835338,0.024917669,0.524917669,9
0.069444444,0.049104638,0.055364147,0.027682074,0.527682074,10
0.076388889,0.054015101,0.060890291,0.030445145,0.530445145,11
0.083333333,0.058925565,0.066413504,0.033206752,0.533206752,12
0.090277778,0.063836029,0.071933521,0.035966761,0.535966761,13
0.097222222,0.068746493,0.077450079,0.03872504,0.53872504,14
0.104166667,0.073656956,0.082962914,0.041481457,0.541481457,15
0.111111111,0.07856742,0.088471762,0.044235881,0.544235881,16
0.118055556,0.083477884,0.093976361,0.046988181,0.546988181,17
0.125,0.088388348,0.09947645,0.049738225,0.549738225,18
0.131944444,0.093298811,0.104971766,0.052485883,0.552485883,19
0.138888889,0.098209275,0.110462049,0.055231024,0.555231024,20
0.145833333,0.103119739,0.115947039,0.057973519,0.557973519,21
0.152777778,0.108030203,0.121426477,0.060713239,0.560713239,22
0.159722222,0.112940666,0.126900105,0.063450053,0.563450053,23
0.166666667,0.11785113,0.132367665,0.066183833,0.566183833,24
0.173611111,0.122761594,0.137828901,0.06891445,0.56891445,25
0.180555556,0.127672058,0.143283556,0.071641778,0.571641778,26
0.1875,0.132582521,0.148731376,0.074365688,0.574365688,27
0.194444444,0.137492985,0.154172108,0.077086054,0.577086054,28
0.201388889,0.142403449,0.159605497,0.079802749,0.579802749,29
0.208333333,0.147313913,0.165031294,0.082515647,0.582515647,30
0.215277778,0.152224377,0.170449246,0.085224623,0.585224623,31
0.222222222,0.15713484,0.175859104,0.087929552,0.587929552,32
0.229166667,0.162045304,0.181260621,0.09063031,0.59063031,33
0.236111111,0.166955768,0.186653548,0.093326774,0.593326774,34
0.243055556,0.171866232,0.19203764,0.09601882,0.59601882,35
0.25,0.176776695,0.197412651,0.098706326,0.598706326,36
0.256944444,0.181687159,0.20277834,0.10138917,0.60138917,37
0.263888889,0.186597623,0.208134462,0.104067231,0.604067231,38
0.270833333,0.191508087,0.213480779,0.106740389,0.606740389,39
0.277777778,0.19641855,0.218817049,0.109408525,0.609408525,40
0.284722222,0.201329014,0.224143036,0.112071518,0.612071518,41
0.291666667,0.206239478,0.229458502,0.114729251,0.614729251,42
0.298611111,0.211149942,0.234763213,0.117381607,0.617381607,43
0.305555556,0.216060405,0.240056936,0.120028468,0.620028468,44
0.3125,0.220970869,0.245339437,0.122669718,0.622669718,45
0.319444444,0.225881333,0.250610487,0.125305244,0.625305244,46
0.326388889,0.230791797,0.255869857,0.127934928,0.627934928,47
0.333333333,0.23570226,0.26111732,0.13055866,0.63055866,48
0.340277778,0.240612724,0.26635265,0.133176325,0.633176325,49
0.347222222,0.245523188,0.271575623,0.135787811,0.635787811,50
0.354166667,0.250433652,0.276786017,0.138393009,0.638393009,51
